Date,Open,Max,Min,Close,Traded Volume
3/27/09,557.04,567.24,508.31,509.86,664284
3/30/09,509.35,509.87,502.22,509.87,664284
3/31/09,509.7,511.46,509.7,511.46,664284
4/1/09,508.05,521.66,508.05,521.66,664284
4/2/09,522.79,541.91,521.68,541.91,664284
4/3/09,543.08,579.72,543.08,571.26,664284
4/6/09,573.95,647.97,573.95,618.17,664284
4/7/09,617.4,617.82,597.09,597.81,664284
4/8/09,597.07,607.89,596.73,607.01,664284
4/9/09,607.66,653.41,607.66,652.09,664284
4/10/09,654.29,684.57,654.29,684.52,664284
4/13/09,684.69,718.35,684.6,698.72,664284
4/14/09,696.7,728.94,685.75,715.86,664284
4/15/09,716.25,716.25,707.45,707.55,664284
4/16/09,707.93,746.11,707.93,746.09,664284
4/17/09,747.14,825.65,746.57,799.57,664284
4/21/09,785.37,786.04,707.87,715.38,664284
4/22/09,715.58,730.49,715.58,721.64,664284
4/23/09,722.08,765.64,722.08,751.74,664284
4/24/09,752.33,781.47,752.33,781.46,664284
4/27/09,781.64,781.98,770.27,774.92,664284
4/28/09,773.09,773.09,744.6,755.03,664284
4/29/09,757.08,784.22,757.08,784.22,664284
4/30/09,785.7,804.75,785.7,798.18,664284
5/5/09,798.28,858.31,798.28,849.05,664284
5/6/09,849.79,888,847.18,888,664284
5/7/09,888.84,971.48,888.84,961.01,664284
5/8/09,962.36,1007.39,962.36,1006.59,664284
5/12/09,1008.68,1116.61,1006.59,1105.5,664284
5/13/09,1105.5,1204.71,958.56,1001.13,664284
5/14/09,998.55,1031.31,960.9,1021.93,664284
5/15/09,1022.47,1066.74,1022.47,1054.17,664284
5/18/09,1051.68,1055.9,1016.05,1055.9,664284
5/19/09,1055.9,1147.95,1054.76,1094.36,664284
5/20/09,1096.17,1136.23,1096.17,1133.11,664284
5/21/09,1130.1,1131.07,1111.79,1116.6,664284
5/22/09,1119.32,1134.89,1119.32,1132.83,664284
5/25/09,1129.52,1129.74,1088.26,1120.54,664284
5/26/09,1120.54,1120.54,1067.29,1077.49,664284
5/27/09,1079.69,1122.35,1079.69,1090.04,664284
5/28/09,1082.66,1112.55,1065.95,1107.66,664284
5/29/09,1108.81,1130.96,1108.81,1122.3,664284
6/1/09,1122.3,1159.35,1122.3,1158.41,664284
6/2/09,1158.41,1193.96,1144.42,1175.01,664284
6/3/09,1175.35,1176.12,1151.26,1154.05,664284
6/4/09,1154.05,1165.14,1112.84,1135.88,664284
6/5/09,1135.88,1146.03,1135.88,1141.32,664284
6/9/09,1141.32,1142.49,1097.04,1108.07,664284
6/10/09,1108.07,1126.86,1108.07,1116.2,664284
6/11/09,1115.06,1115.06,1105.57,1111.12,664284
6/12/09,1111.73,1120.68,1108.46,1108.63,664284
6/15/09,1108.36,1108.36,1039.65,1039.65,664284
6/16/09,1038.46,1069.61,1017.66,1057.59,664284
6/17/09,1059.69,1059.69,1024.47,1025.18,664284
6/18/09,1026.92,1031.08,994.05,1008.52,664284
6/19/09,1009.33,1030.27,1009.33,1025.47,664284
6/22/09,1025.47,1025.47,977.64,977.64,664284
6/23/09,975.62,975.62,938.97,956.65,664284
6/24/09,957.37,980.06,957.37,977.42,664284
6/25/09,977.15,977.15,961.63,971.17,664284
6/26/09,971.17,988.7,971.17,977.09,664284
6/30/09,978.1,1006.62,978.1,1006.62,664284
7/1/09,1007.38,1011.76,997.59,1004.2,664284
7/2/09,1004.07,1004.19,980.49,981.37,664284
7/3/09,980.26,980.83,962.25,976.96,664284
7/6/09,976.52,976.52,933.62,940.04,664284
7/7/09,939.78,943.86,931.36,936.45,664284
7/8/09,934.98,934.98,903.79,906.75,664284
7/9/09,907.14,914.22,905.86,908.9,664284
7/10/09,908.82,908.82,899.87,900.04,664284
7/13/09,899.81,903.95,893.94,901.36,664284
7/14/09,901.36,916.63,901.36,911.65,664284
7/15/09,911.65,926.41,911.65,926.41,664284
7/16/09,926.44,934.61,924.34,933.67,664284
7/17/09,933.67,968.7,933.67,959.36,664284
7/20/09,959.69,1026.88,959.69,1026.88,664284
7/21/09,1026.98,1038.7,1022.45,1030.44,664284
7/22/09,1030.23,1030.23,1005.32,1018.25,664284
7/23/09,1018.94,1036.91,1018.94,1033.54,664284
7/24/09,1033.94,1055.64,1033.94,1043.76,664284
7/27/09,1044.12,1065.57,1044.12,1060.21,664284
7/28/09,1060.44,1062.57,1025.41,1037.39,664284
7/29/09,1037.39,1043.53,1023.08,1039.97,664284
7/30/09,1040.39,1064.52,1040.39,1064.52,664284
7/31/09,1064.52,1068.14,1058.79,1064.73,664284
8/3/09,1065.48,1094.94,1065.48,1091.48,664284
8/4/09,1091.15,1092.26,1084.09,1086.93,664284
8/5/09,1086.93,1112.07,1086.93,1104.13,664284
8/6/09,1104.26,1127.01,1104.26,1117.45,664284
8/7/09,1117.45,1117.45,1098.81,1114.79,664284
8/10/09,1115.05,1121,1109.18,1114.76,664284
8/11/09,1114.76,1133.27,1114.76,1121.21,664284
8/12/09,1121.21,1122.36,1099.28,1122.22,664284
8/13/09,1122.22,1140.17,1119.1,1120.33,664284
8/14/09,1120.33,1128.77,1107.61,1123.79,664284
8/17/09,1123.79,1123.79,1077.77,1091.4,664284
8/18/09,1092,1105.44,1092,1096.64,664284
8/19/09,1096.64,1099.76,1081.95,1095.45,664284
8/20/09,1095.45,1145.83,1095.45,1117.28,664284
8/21/09,1117.34,1136.09,1117.29,1133.98,664284
8/25/09,1134.09,1200.12,1133.58,1197.71,664284
8/26/09,1197.98,1222.46,1194.03,1196.1,664284
8/27/09,1198.96,1223.79,1190.7,1191.71,664284
8/28/09,1191.71,1218.73,1191.71,1207.59,664284
8/31/09,1207.59,1207.59,1172.6,1174.12,664284
